
qid,query,reference_answer,must_include_facts,allowed_sources,time_sensitive
final001,What is the speed of Earth's rotation at the equator?,"The Earth rotates at roughly 1,000 miles per hour (about 1,600 km/h) at the equator, and this rotational speed decreases as you move toward higher latitudes.","approximate speed at equator (~1,000 mph or 1,600 km/h); variation with latitude",discovermagazine.com,False
final002,Which moon is the largest in our solar system?,"Ganymede, a moon of Jupiter, is the largest moon in the solar system and is larger than the planets Mercury and Pluto.",Ganymede is a moon of Jupiter; largest moon; larger than Mercury and Pluto,solarsystem.nasa.gov,False
final003,What is the capital of France?,Paris is the capital and largest city of France.,capital city is Paris,britannica.com,False
final004,Who wrote the novel '1984'?,British author George Orwell wrote the dystopian novel Nineteen Eighty‑Four (published in 1949).,author is George Orwell; novel title Nineteen Eighty‑Four; publication year 1949,britannica.com,False
final005,What is the boiling point of water at sea level?,"At sea level (pressure of 1 atmosphere), water boils at 100 °C (212 °F) and remains at that temperature until all of the water turns to vapour.",boiling point 100 °C at 1 atm; remains constant during boiling,umdberg.pbworks.com,False
final006,On what date did the United States adopt its Declaration of Independence?,"The Declaration of Independence was adopted by the Continental Congress on July 4, 1776.","adopted July 4, 1776; Continental Congress",archives.gov,False
final007,Name the seven continents.,"The seven continents are Africa, Antarctica, Asia, Australia/Oceania, Europe, North America and South America.",list all seven continents,worldatlas.com,False
final008,What is the chemical symbol for gold?,"Gold’s chemical symbol is Au, derived from the Latin word “aurum.”",symbol Au; derived from Latin aurum,sciencelearn.org.nz,False
final009,Who discovered penicillin?,Penicillin was discovered in 1928 by Scottish bacteriologist Alexander Fleming when he noticed that a mold killed bacteria on a culture plate.,discovered by Alexander Fleming; year 1928; observation of mold killing bacteria,drugs.com,False
final010,What is the speed of light?,"The speed of light in a vacuum is exactly 299,792,458 meters per second.","value 299,792,458 m/s; vacuum",astronomy.com,False
final011,How high is Mount Everest?,"Mount Everest’s elevation is about 29,031.69 feet (8,848.86 meters), making it the tallest mountain above sea level.","height around 29,031.69 ft or 8,848.86 m; highest mountain",britannica.com,False
final012,Why is Mars called the Red Planet?,"Mars appears red because its soil and rocks contain iron oxide (rust), giving the planet its distinctive reddish colour.",iron oxide (rust) causes red colour; dust and rocks; nickname Red Planet,britannica.com,False
final013,What is the official currency of Japan?,"Japan’s official currency is the Japanese yen (JPY), symbolized by ¥.",Japanese yen; symbol ¥; official currency of Japan,oanda.com,False
final014,When did the Titanic sink?,"The RMS Titanic sank at about 2:20 a.m. on April 15, 1912, after hitting an iceberg during its maiden voyage.",date April 15 1912; time around 2:20 a.m.; iceberg collision,history.com,False
final015,Who painted the Mona Lisa?,The Mona Lisa was painted by the Italian Renaissance artist Leonardo da Vinci between 1503 and 1519.,Leonardo da Vinci; timeframe 1503–1519; Renaissance portrait,britannica.com,False
final016,When was Google Inc. founded?,"Google Inc. was officially founded in August 1998 when investor Andy Bechtolsheim wrote its founders a check for $100,000.",official founding date August 1998; Andy Bechtolsheim investment; founders Larry Page and Sergey Brin,about.google,False
final017,What is the longest river in the world?,"The Nile River is generally considered the longest river in the world, at roughly 4,132 miles (6,650 kilometres) long.","Nile River; length about 4,132 miles or 6,650 km; longest river",britannica.com,False
final018,Who was the first human to walk on the Moon?,"Astronaut Neil Armstrong became the first person to walk on the Moon on July 20, 1969, during NASA’s Apollo 11 mission.","Neil Armstrong; first person on the Moon; date July 20, 1969; Apollo 11 mission",nasa.gov,False
final019,Which planet is the largest in the solar system?,Jupiter is the largest planet in the solar system and has more than twice the mass of all the other planets combined.,Jupiter; largest planet; mass more than twice all other planets combined,science.nasa.gov,False
final020,When is International Men’s Day celebrated?,International Men’s Day is celebrated each year on November 19 to recognize the positive contributions men make to society.,date November 19; annual celebration; focus on positive contributions of men,internationalmensday.com,False
