
qid,query,gold_doc_url
gdoc001,What is the speed of Earth's rotation at the equator?,https://www.discovermagazine.com/the-sciences/how-fast-is-the-earth-spinning
gdoc002,Which moon is the largest in our solar system?,https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede/in-depth/
gdoc003,What is the capital of France?,https://www.britannica.com/place/France
gdoc004,Who wrote the novel '1984'?,https://www.britannica.com/biography/George-Orwell
gdoc005,What is the boiling point of water at sea level?,https://umdberg.pbworks.com/w/page/91571099/Boiling%20Point
gdoc006,On what date did the United States adopt its Declaration of Independence?,https://www.archives.gov/founding-docs/declaration
gdoc007,Name the seven continents.,https://www.worldatlas.com/geography/the-seven-continents.html
gdoc008,What is the chemical symbol for gold?,https://www.sciencelearn.org.nz/resources/1894-gold
gdoc009,Who discovered penicillin?,https://www.drugs.com/article/penicillin.html
gdoc010,What is the speed of light?,https://astronomy.com/magazine/ask-astro/2010/01/the-speed-of-light
gdoc011,How high is Mount Everest?,https://www.britannica.com/place/Mount-Everest
gdoc012,Why is Mars called the Red Planet?,https://www.britannica.com/place/Mars-planet
gdoc013,What is the official currency of Japan?,https://www.oanda.com/currency-converter/en/currencies/majors/jpy/
gdoc014,When did the Titanic sink?,https://www.history.com/this-day-in-history/april-15/titanic-sinks
gdoc015,Who painted the Mona Lisa?,https://www.britannica.com/topic/Mona-Lisa-painting
gdoc016,When was Google Inc. founded?,https://about.google/company-info/our-story/
gdoc017,What is the longest river in the world?,https://www.britannica.com/place/Nile-River
gdoc018,Who was the first human to walk on the Moon?,https://www.nasa.gov/history/july-20-1969-one-giant-leap-for-mankind/
gdoc019,Which planet is the largest in the solar system?,https://science.nasa.gov/jupiter/
gdoc020,When is International Men’s Day celebrated?,https://internationalmensday.com/
gdoc021,Where is the Mona Lisa displayed?,https://www.britannica.com/topic/Mona-Lisa-painting
gdoc022,Where did the Titanic sink?,https://www.history.com/this-day-in-history/april-15/titanic-sinks
