
qid,query,gold_doc_url,gold_span,reference_answer
gchunk001,What is the speed of Earth's rotation at the equator?,https://www.discovermagazine.com/the-sciences/how-fast-is-the-earth-spinning,"The article notes that Earth’s rotation speed at the equator is about 1,000 miles per hour and varies with latitude.","Earth rotates at about 1,000 miles per hour (around 1,600 km/h) at the equator; the speed decreases as you move toward the poles."
gchunk002,Which moon is the largest in our solar system?,https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede/in-depth/,"Ganymede, Jupiter’s icy moon, is the largest moon in the solar system and is larger than the planets Mercury and Pluto.",Jupiter’s moon Ganymede is the largest moon in the solar system; it is even bigger than the planets Mercury and Pluto.
gchunk003,What is the capital of France?,https://www.britannica.com/place/France,The Britannica quick facts section lists the capital of France as Paris and notes that Paris is by far the most important city.,Paris is the capital of France.
gchunk004,Who wrote the novel '1984'?,https://www.britannica.com/biography/George-Orwell,The Britannica biography notes that George Orwell wrote the anti-utopian novel Nineteen Eighty-four (1949).,George Orwell wrote the novel 1984.
gchunk005,What is the boiling point of water at sea level?,https://umdberg.pbworks.com/w/page/91571099/Boiling%20Point,"On the University of Maryland page, it states that water’s boiling point is 100°C at a pressure of 1 atmosphere and that water stays at 100°C while boiling at sea level.","At sea level (1 atm), water boils at 100 °C (212 °F) and remains at that temperature while boiling."
gchunk006,On what date did the United States adopt its Declaration of Independence?,https://www.archives.gov/founding-docs/declaration,"The U.S. National Archives explains that the Continental Congress adopted the Declaration of Independence on July 4, 1776.","The Continental Congress adopted the Declaration of Independence on July 4, 1776."
gchunk007,Name the seven continents.,https://www.worldatlas.com/geography/the-seven-continents.html,"WorldAtlas lists the seven continents as Africa, Antarctica, Asia, Australia/Oceania, Europe, North America, and South America.","The seven continents are Africa, Antarctica, Asia, Australia/Oceania, Europe, North America and South America."
gchunk008,What is the chemical symbol for gold?,https://www.sciencelearn.org.nz/resources/1894-gold,"The Science Learning Hub article states that gold’s official chemical symbol is Au, derived from the Latin word aurum.",Gold’s chemical symbol is Au (from the Latin aurum).
gchunk009,Who discovered penicillin?,https://www.drugs.com/article/penicillin.html,"According to Drugs.com, penicillin was discovered in 1928 by the Scottish bacteriologist Alexander Fleming, who observed that mold inhibited bacterial growth and named the substance penicillin.",Penicillin was discovered in 1928 by Scottish bacteriologist Alexander Fleming.
gchunk010,What is the speed of light?,https://astronomy.com/magazine/ask-astro/2010/01/the-speed-of-light,"The Astronomy.com article notes that the speed of light is defined as exactly 299,792,458 meters per second.","The speed of light in a vacuum is exactly 299,792,458 meters per second."
